place,code
Boibu-Oromerizemgbu,500101
Bojo,824101
Bojude,760102
Bokana,504102
Bokani,913104
Bokka,657101
Bokki,871101
Bokko,610106
Bokkos,932112
Boko,822102
Bokwori,601105
Bole Village,200109
Boli,743104
Boloba,503101
Bologi,912105
Boloro,741104
Bolorunduro,370101
Bolorunduro,250101
Bolorunduro Camp,361103
Bolorunpelu,106101
Bolou-Olrua,561101
Boluduro,106101
Bom,741104
Bomala,760102
Bomo,810103
Bomu,501103
Bonga,741104
Bongo,741104
Bonneykiri,562101
Bonny,503101
Bono,710103
Bonu,502102
Bonugo,904105
Bony-Onwon,503101
Boor,981114
Bordedel,752106
Bori-Bassa,260105
Borno Yesu,602104
Borowa Camp,361103
Borwo,762103
Bosso,920102
Bot,932112
Botem,501102
Boto,841102
Botoro Gadi,863103
Bown-Adagbabiri,561102
Boyakai,842105
Bozonshulwa,760104
Brass,562101
Bubabulin,612103
Buda,712101
Buda,713101
Buda,923101
Budo Manasara,251105
Budo-Igbira,251105
Buduma,824102
Budun,850105
Budurega,851101
Bugaje,705103
Bugako,903101
Bujawa,702101
Bujawa,823101
Bujawa,822103
Buji-Kudu,721103
Bujim,720101
Bukan Allu,950101
Bukan Buzu,950101
Bukan Kwato,950101
Bukan Sidi,950101
Bukan Tambo,950101
Bukka,913104
Bukuma,504102
Bukurami,752106
Bul,710104
Bula,760102
Bula,705103
Bula,824102
Bulabili,657101
Bulabulin,610106
Bulagana,752105
Bulama,731105
Bulamuri,601105
Bulanyaki,851103
Bullu,872102
Bulturi,752105
Bulungudu,824104
Buluranawa,733103
Buma'a,601105
Bumai,703102
Bumbum,824102
Bumigi,922107
Bumiyami,752106
Bumning,933101
Bumodi,569101
Bundele,511102
Bundili,741101
Bundiri,751106
Bundot,741101
Bundujaru,752106
Bunga,932101
Bungalo - Ifo,112104
Bungu,741104
Bunguji,601105
Buni,923104
Bunji,733101
Bunkari,853101
Bunko,901101
Bunturu,712102
Buntusu,705105
Bunu,760102
Bunu,501102
Bunu - Bangh,502102
Bununu,741101
Bunza,862101
Buogboko,562101
Burahutube,611105
Buraimoh,250101
Buram,602101
Burari,610101
Burburwa,712104
Burdugel,751106
Burdugu,832102
Bure,743104
Burgulok,603107
Burgumma,601105
Burji,720105
Burji,711102
Burmuni,710102
Burna Ruwa,705103
Buro Bunga,760104
Bursali,752105
Burtulan,720101
Buru,910101
Burukiri,562101
Burum,740102
Burum,601101
Burum,710101
Burum,910101
Burun Burun,710104
Burun Kauji,601101
Busawa,860101
Busga,905102
Butubutu,701102
Butura,932112
Buturi,742101
Buturunawa,733103
Butuyi,922107
Buzana,923102
Buzaye,740102
Buzoye,740101
Buzu,922107
Buzunkure,903101
Bwalagyang,601102
Bwana,912101
Bwarak,933101
Bwashi,642103
Bwoi,910101
Byara,740101
Byazhi,901101
Cagwa,923102
Calabar Camp Idepe,350104
Caldimari,752105
Camba,602101
Cape Formosa,562101
Captninakiri,562101
Cattle Ranch,913104
Cediyar Bawa,810103
Cekpa,912105
Cetuko,912105
Cetukpagi,912105
Chacho,842101
Chadi,731101
Chaibo,710102
Chai-Chai,720101
Chai-Chai,733102
Chakaruku,260105
Chakawa,651102
Chakfem,932101
Chakun,905102
Chakurawa,733101
Chakwai-Kwaiwa,733103
Challawa,700104
Chambe,720103
Chamo,720101
Chanbayi,720103
Chanchaga,920102
Chara,812101
Charanchi,822104
Charangi,603103
Chararana,712104
Charikpan,243105
Charo,702101
Charuama,503101
Chaucha,843103
Chedi,701101
Chediya,721102
Chegasu,903101
Cheji,922107
Chekwar,970101
Cheledi,743104
Chibiri,903101
Chibok,601102
Chida,903101
Chidari,702105
Chigbeche Bisa,260105
Chigwong,933101
Chiinkoso,711102
Chiji,962106
Chikaji,810103
Chikale,901101
Chikan,933101
Chikara,260105
Chikawa,702102
Chikun,800104
Chikwi,603103
Chillas,841102
Chimbi,910101
Chimmola,843103
Chinama,923104
Chinkani,750105
Chio,511102
Chipanini,870104
Chirin,710103
Chiroma,950101
Chiromawa,720102
Chiromawa,703101
Chitunu,923104
Chiwokanwere,511102
Chiyako,721101
Chizako,910101
Chokocho,512101
Chokotaa,512101
Chubu,981114
Chukkol,641101
Chukkol,652102
Chukuku,903101
Chukutu,733103
Chula,713103
Chundugo,905102
Churban,721103
Churta Biki,711104
Cilibiri,712104
Ciroma-Shippang,933101
Ciromawa,700105
Clarendon,562101
Coker Town,112104
Consulale,504102
Crutoru,503101
Curpen,562101
D. Bukkdcio,923104
D. Taru,923104
D/ Kolo,872105
D/ba'u,830102
D/dawan Tum,923101
D/dorawa,703101
D/dundu,710103
D/fadama,923101
D/gulu,701102
D/kyaure,741103
D/manddanau,872102
D/salau,843101
Daabi,705105
Daabigyel,733102
Daba,705102
Daba,824102
Dabai,831102
Dabawa,705103
Dabbana Duhu,821103
Dabbare,905102
Dabbo,922107
Daberam,824101
Dabi,733102
Dabiri,861101
Dabir-Karawa,713103
Dabiti Woro,922107
Dabo,811108
Dabora,730102
Daburau,711102
Dachine,910101
Dada,200129
Dadabo,710105
Dadarawa,703102
Dadarawa Tsohuwa,703102
Daddere,951102
Daddo,703101
Daddudda,701104
Dadi Esepe,103101
Dadin Duniya,702102
Dadin Kowa,923102
Dadin Sarki,705103
Dadin Sarki,824102
Dadinkowa,710105
Dadin-Kowa,824103
Dadiri,641110
Dadiri Gada,641110
Dado,103101
Daen,502102
Dafara,903101
Dafara,904105
Dafara,822104
Dafsomari,752106
Dagahsi,751106
Dagaji,713103
Dagala,611102
Dagale,742104
Dagar,702102
Dagasawa,705103
Dagazam,702101
Dagba Kota,912105
Dagbaiko,922107
Dagbogua,260105
Dagelji,751106
Dagere,860101
Dagnnama,561101
Dagolanzai,750101
Dagon Dawa,820103
Dagon Hawa,824102
Dagu,742103
Dagula,641107
Dagumawa,713101
Daguni,923104
Dagura,824102
Dagwaje,720101
Daho,712104
Dahuwar,733101
Dailo,602101
Daji Kamuku,923101
Dakache,733101
Dakanta,642103
Dakayawa,730102
Dakibiyu,923104
Dakin-Kura,832103
Dakole,121101
Dakpan,913104
Da-Kumeji,832102
Dakwai,703102
Dakwara,704101
Dal,712101
Dal,713101
Dal,942102
Dala-Dagum,752105
Dala-Lawanti,600104
Dalawa,710104
Daleji,705103
Dalla,731101
Dallaje,822105
Dallari,750101
Dallarin Gabas,752106
Dallarin Yamma,752106
Dalli,750103
Dalman,811108
Dalori,610104
Dalorri,502102
Dalwa East,610104
Dama,912105
Damadumin Toka,741103
Damagi,824103
Damakara,612103
Damakasa,900101
Damakuli,612101
Damakusa,900101
Damakusa,903101
Damalawa,705103
Damana,860101
Damana,923104
Damangata,903101
Damargu,703101
Damari,830104
Damasak,602101
Damaski,812104
Damaturu,6.20213E+77
Damau,711104
Damba,843101
Dambazau Yamma,712102
Damboa,601101
Damewa,752105
Damfami,700104
Damgamji,820103
Daminawa,703101
Daminawa,833101
Damodi,752105
Damusawa,702103
Damwa,903101
Dan Abba,843103
Dan Abzin,705103
Dan Alhaji,811104
Dan Alhaji,82016
Dan Alhaji Ii,811104
Dan Ali,824104
Dan Ashintan,823104
Dan Auamaka,812103
Dan Bazau,820103
Dan Dabi,961101
Dan Dashire,832102
Dan Dutse,705102
Dan Gani,833101
Dan Geza,82016
Dan Gwauro Hago,700104
Dan Gwauro Illiyasu,700104
Dan Isa,701102
Dan Janku,833101
Dan Kado,704101
Dan Kado,833101
Dan Kama,820103
Dan Kanjiba,832103
Dan Kunama,820103
Dan Kwaro,832103
Dan Lasan,713105
Dan Madadi,704101
Dan Madanho,702101
Dan Maidoki,832102
Dan Maliki,704103
Dan Maliki,700104
Dan Marabu,832102
Dan Marke,832102
Dan Maryame,711102
Dan Musa,733101
Dan Musa,822103
Dan Nafada,704101
Dan Nasara,824102
Dan Rumai,823103
Dan Sambo,704105
Dan Soda,830103
Dan Tudu,820103
Dan Yawa,824102
Danaganna,862104
Danasakko,842105
Danaunai,823103
Dan'auta,711102
Danawa,702101
Danbare,700104
Danbazau Gabas,712103
Dancita,912105
Dancitagabi,912105
Dandagi,923104
Dandago,740102
Dan-Dagura,733101
Dandalama,701101
Dandalmai,602104
Dandamisa,812103
Dandande,811108
Dandawa,704101
Dandawa,923104
Dandi,705102
Dando,712102
Dandoki,710105
Dandume,830103
Danfisa,750101
Dangada,701104
Dangadi Maimarina,705103
Dangaladima,800108
Dangaladima,862101
Dangamaji,863101
Dangamau,822102
Dangana,912101
Dangare,260105
Dangi,923104
Dangifu,243105
Dango,750103
Dango,843101
Dangoma,862104
Dangora,711105
Dangri,741101
Danguzuri,812103
Dangwalu,750103
Dangwauro,700104
Dangyatun,720105
Danhadau,800108
Danhassan,711101
Danikani,733101
Dan-Isa,810102
Danja,702101
Danja,704101
Danja,704102
Danja,831102
Dan-Jaba,810102
Danji,981114
Danji,824103
Dan-Jukku,821103
Dankaba,820103
Dan-Kalgo,832102
Dankalia,602101
Dankan- Kambari,872105
Dankemu,842101
Dankiri,500103
Dankomi,742101
Dankoru,901101
Dan-Kowa,823103
Dankumagi,922107
Dankumbo,732105
Dankunama,820103
Dankunkuru,700105
Dankwai,703103
Dan-Kwari,833102
Dan-Lawal,812101
Dan-Magaya,821103
Dan-Makeri,733102
Danmaliki,811108
Danmasara,720101
Danmisa,824102
Dan-Nakinaba,832102
Danonguza,743104
Danrangi,923104
Danrimi,923104
Dan-Sabau,832102
Dansai,742103
Dansala,705103
Dansalia,602101
Dan-Sarai,832101
Dansawa,824102
Danshoshiya,711105
Dansure,705103
Dantaimu,705103
Dantakari,830103
Dantauya,720101
Dantige,832103
Dantsawa,712102
Dantsoro,733101
Dantutture,832103
Danwa,863103
Dan-Wata,810102
Danya,762103
Danya,702105
Danzabuwa,703101
Danzaki,702101
Danzo Gari,711102
Dapala,905101
Dapchi,601105
Dappa,923101
Dara,905102
Dara,823104
Daragi,705103
Daram,612103
Darau,720101
Darazo,750106
Dare,962106
Dareche,602103
Daregelewa,602101
Darga,923104
Dargage,824104
Dari,961102
Darile,503102
Darina,705105
Darinawa,702102
Darini,82016
Dariyar Kudu,710105
Darki,713101
Darmi,872102
Darrari,741101
Daruda,912101
Das'a,612101
Dasama,612101
Dasare,752105
Dasha,824104
Dashem Bamin Kogi,741104
Dashem Yalwa,741104
Dashi,711105
Dashi - Dukku,760104
Dass Katanga,741101
Datsa,705103
Dauda,901101
Dauda,912101
Daudawa,830102
Dauduri,752106
Dauna,843101
Daunaka,823104
Dauni,702103
Daura,8.24212E+71
Daurawa,733102
Daurawa,705103
Daurawa,711105
Daurawa,702103
Daurawa,820103
Daurawa Tsakiya,810103
Dausayi,702101
Dausayi,700105
Daushe,733102
Dawa,912105
Dawa Bulama,731105
Dawaki,811101
Dawakin Dogo,711104
Dawan Musa,831101
Dawanau,701101
Dawan-Makawu,823101
Dawan-Malam,824104
Dawatsi,742103
Dawo,760102
Dawram,602101
Daya,752105
Dayar,603103
Dayawa,832103
Daye,822105
Dayi,832101
Dechu,960134
Dedela,612101
Dedere,951102
Dederi,704105
Degema,504102
Deken,501103
Dekina,272101
Dema,603103
Dema,503102
Demsa New,642103
Demsa Old,642103
Dene,933101
Deneku-Bassa,260105
Denku,263101
Deno,742104
Deoyor,501103
Derechewa,602101
Dereng,933101
Derlit,940101
Dewu,905102
Dewu,743104
Diango,760102
Dibe Pada,903101
Dibepe,903101
Dibiriga,510102
Diddigau,705103
Didiri,601105
Difinowa,612101
Diga,762103
Digare,743104
Digawa,742104
Digawa,742101
Diggi,862104
Digimari,601105
Digiza,751106
Dikiboama,500103
Dikwa,611101
Dilake,720101
Dile,760104
Dillo Ashina,260105
Dillo-Bassa,260105
Dima,923104
Dimama,503102
Din,740102
Dinawa,842101
Dinbiso,842101
Dindima,740101
Dindiyel,823102
Dingare,733102
Dingashi,750105
Dingaya,721102
Dingin,702103
Dingis,742101
Dinki,741104
Dinki Rimi,741104
Dinkin Fate,741104
Dinya,733101
Dinya,705103
Dinya,810102
Dinya Mai,823103
Dinya Mai Randa,823103
Dinyar Makeri,832101
Dipchari,610101
Dirin Daji,872105
Dirin Gari,872105
Diriya,923104
Disa,742103
Disina,750103
Disini,752105
Dissi,833102
Ditse,824104
Diyanfura,923104
Dlanko,923104
Dlashu,603103
Dnaguguwa,701101
Dodfin,121101
Dofawa,923104
Doga,702102
Doga-Maijama,800104
Dogami,704101
Dogan Ruwa,922107
Dogarawa,810103
Dogawa,720103
Dogbo,260105
Dogo Dutse,750103
Dogoma,601105
Dogon Bauchi,810103
Dogon Daji,802104
Dogon Daji,863103
Dogon Marke,832101
Dogonjeji,751106
Dogon-Maje,742101
Dogon-Ruwa,742101
Doguru,823102
Doguwa,750105
Doguwa,710105
Doguwar Dorowa,712102
Doguwarkula,733101
Doho,762103
Doili,602102
Doka,740101
Doka,712102
Doka,701103
Doka,700105
Doka,822104
Doka,830104
Doka,923104
Dokadawa,701103
Dokan Hausawa,872105
Dokawa,823102
Doko,733101
Dokoki,703101
Dokoki,923102
Dokubotorughia,503101
Dokun,202101
Dolama,750101
Doma,830102
Doma,950103
Doma,961102
Domi,905102
Donabayi,901101
Dondole Lewe,762103
Dongo,601105
Dongozo,601105
Don-Nakola Garjiya,824101
Dono,851101
Donttel,741101
Dora,962103
Dorai,733101
Dorawa,352105
Dorawa I,642101
Dorawa Ii,642101
Dorawar Malami,810103
Dorayi,812103
Dorayi,810102
Dorayi,700105
Dorgu-Ewoama,562102
Doro,822105
Dorowar-Natiba,832102
Doruwa,851103
Dosano,733101
Dott,741101
Dowaya,642103
Duba,901101
Duba,923102
Dubantu,731101
Dubia,903101
Duchi,603103
Dudagwari Yamma,903101
Dudduru,752105
Dude,903101
Duduku-Bassa,260105
Dudun Ma'azu,830104
Dudunni,822102
Dudure,611101
Dugabau,704103
Dugbeji,260105
Dugbolu,350104
Dugge,923104
Dugu Isa,912105
Dugu Tsolo,870106
Dugub,942102
Dugul,823104
Dugumi,742104
Dugurawa,701104
Duhuwa,720102
Duja,712104
Duji,602101
Duk,933101
Duka Maje,843102
Dukawa,752105
Dukawa,733101
Dukawa,711101
Dukawa,702103
Dukke,830101
Dukkuri,752105
Duku,720101
Duku,923104
Duku-Duku,824103
Dukuji,702103
Dukura,850105
Dukusakun,922107
Dulbu,740102
Dull,741104
Dum,905102
Dum,711105
Duma,903101
Duma,610106
Duma Nasarawa,352105
Dumawa,702103
Dumba,741101
Dumbasa,820103
Dumbegu,863101
Dumbeku-Toto,962106
Dumbulum,703102
Dumi,740101
Dumin Zungur,740102
Dumobi-Kumakiri,562102
Dunawa,702105
Dunbulin,703103
Dundaye,861104
Dundu,733101
Dundu,710103
Dundube,733101
Dundubus,720101
Dundun,713103
Dunga,741104
Dungba,940101
Dungu,720102
Dungu,710102
Dungurawa Kwa,701101
Dunguzu,733101
Dungyle,933101
Dunki,800101
Dunkui Ambi,750101
Dunkur,603103
Dunkurmi,750101
Dunkwai,703103
Dunkwi Kasuwa,750101
Dunu,824101
Dunyashe,824102
Dunyutugi,922107
Duokumgbene,562101
Durba,611101
Durba,710102
Durbunde,712103
Duri,602101
Duriya,903101
Durji,705101
Durm,742104
Durr,741101
Duru,720101
Durum,740101
Durum,740102
Durum,603103
Durumawa,711104
Durumin Sabbi,810103
Durun,812103
Durun,704103
Dusten Mai,800101
Dusugua,602104
Dusula,601101
Dusuman,600104
Dususu,710103
Dususu,710102
Dususu,710101
Dutsawa,823103
Dutse,740102
Dutse,2.02617E+58
Dutse,832103
Dutse Alhaji,901101
Dutse Wai,811108
Dutsen Danbakoshi,704102
Dutsen Saki,741104
Dutsi,823103
Dutsimangaji,923102
Dutsin-Safe,820103
Dutsin-Yanke,832103
Dutwatsu,701103
Duwan,823101
Dwafu Tako,912105
Dwafu Tifi,912105
Dwakoro,910101
Dwalle,912105
Dwam,642103
Dzangbodo,912105
Dzukogi,912101
Dzuroke,657101
Dzwayagi,912101
E/a/ Tswanku,912101
E/abeshin,912101
E/abonichi,912101
E/abubakar,912101
E/afa-Sarkin-Daji,912101
E/al. J. Wandoi,912101
E/alh -Tanko,912101
E/alh. Banmibu,912101
E/alh. Cijici,912101
E/alh. Ndagiferuk,912101
E/alh-Allah-Yakiyaya,912101
E/alh-Banmisu,912101
E/alh-Tahiru,912101
E/alkali-Bwafe,912101
E/baba-Banga,912101
E/baba-Jeba,912101
E/babakor-Dzung,912101
E/badawu,912101
E/bafugi,912101
E/bamisu-Nma,912101
E/bangaye,912101
E/banin Bida,912101
E/banwunangi,912101
E/banyagi,912101
E/basheru,912101
E/bayage,912101
E/bazumagi,912101
E/bccc,912101
E/bentigi,912101
E/benue Tank-Loncita,912101
E/benue-Jukegi,912101
E/besakun,912101
E/bonwuya,912101
E/bube,912101
E/chekpa,912101
E/coce,912101
E/dadaima-Mgni,912101
E/danbugi,912101
E/dandanma,912101
E/danyiya,912101
E/daracita,912101
E/dokodza,912101
E/dukya Annebi,912101
E/duma,912101
E/dzwale,912101
E/easghara,912101
E/edita,912101
E/edogifu,912101
E/eengbara,912101
E/efogi Munzhi,912101
E/efogi-Leman,912101
E/efogimenshi,912101
E/ejiko,912101
E/ejiko Ii,912101
E/ejiko-Rijiya,912101
E/emiworo,912101
E/esheta,912101
E/essozhi,912101
E/etsu Gbeni,912101
E/etsu Umaru,912101
E/etsu-Yiza,912101
E/fengcci,912101
E/fogun,912101
E/gabi,912101
E/galadima,912101
E/galaima,912101
E/galedime-Gari,912101
E/gara,912101
E/gazacizhi,912101
E/gbaboruwate,912101
E/gbafe Bida,912101
E/gbagbaruku,912101
E/gbazhi,912101
E/gbezhi,912101
E/geniya,912101
E/ginya,912101
E/gozanzhi,912101
E/guduko,912101
E/gudun,912101
E/gyaye,912101
E/hassen Taga,912101
E/kabeligulu,912101
E/kania,912101
E/kanuwan,912101
E/karako,912101
E/kari,912101
E/katanbeko,912101
E/kibokun,912101
E/kobonki,912101
E/kodondo,912101
E/kolo-Taki,912101
E/koroko,912101
E/kotan Komu,912101
E/kotonkoman,912101
E/kotonkonem,912101
E/kpokpo Tswazhi,912101
E/kuccfagi,912101
E/kutufani,912101
E/kyari,912101
E/labezhici,912101
E/lakpene,912101
E/lalenu,912101
E/lcman,912101
E/ledan,912101
E/liman Shafii,912101
E/liman-Jipan,912101
E/limen -Gogun,912101
E/lukepan,912101
E/lukpan,912101
E/lumgoyi,912101
E/madajin-Yagi,912101
E/madaki,912101
E/madami,912101
E/madodo,912101
E/mai Truku,912101
E/majin-Kenp,912101
E/makans,912101
E/makanta,912101
E/makuda,912101
E/mallam-Abba,912101
E/mambelo Dzugu,912101
E/man Danganedi,912101
E/man Makuwa,912101
E/man Nakisu,912101
E/manfafa,912101
E/man-Jiya,912101
E/manjiya Area,912101
E/manmosu,912101
E/manmusa Kidogi,912101
E/manndaguniji,912101
E/man-Santali,912101
E/manzuruku,912101
E/marinatu,912101
E/marnati,912101
E/mashera,912101
E/mataki,912101
E/mayak Ndejiya,912101
E/mayaki,912101
E/mdace Wleya,912101
E/megayaki,912101
E/mekame,912101
E/modki-Bale,912101
E/mukedami,912101
E/nagu,912101
E/naibi,912101
E/naibi Area,912101
E/naiji,912101
E/nakode,912101
E/nasarafu,912101
E/natsu,912101
E/nda Kpaye,912101
E/nda Tsade,912101
E/nda-Gimba,912101
E/ndaji,912101
E/ndakobokolo,912101
E/ndaleti,912101
E/ndamaimi,912101
E/ndameraki,912101
E/ndaminaain,912101
E/ndatafya,912101
E/ndazwafu,912101
E/ndeburu,912101
E/ndeji Kafabi,912101
E/ndigi,912101
E/ndoguye,912101
E/nducekpa,912101
E/nnedyakpe,912101
E/nudandyepe,912101
E/ogi Limen-Shaba,912101
E/rafi,912101
E/rani Bida,912101
E/rofya,912101
E/s/gone,912101
E/s/kudu,912101
E/sagi,912101
E/sakiwa,912101
E/san Sani,912101
E/sani-Lamu,912101
E/sanjiya,912101
E/sanjon,912101
E/sanluec,912101
E/santali Benwuya,912101
E/sapanuwa Kuts,912101
E/sarken-Kyauro,912101
E/shamako,912101
E/sheba,912101
E/shehu,912101
E/shengbo,912101
E/shesa Nupe,912101
E/sheshi-Penti,912101
E/sheshi-Shaba,912101
E/shimini,912101
E/sonfadako,912101
E/sonfawa,912101
E/sonfede,912101
E/sunatsuzhi,912101
E/tafaski,912101
E/taka,912101
E/tako,912101
E/tako Alh.,912101
E/tako-Jwabishi,912101
E/tangbo,912101
E/tifi-Nnasanci,912101
E/tsaduya,912101
E/tsu Kenehi,912101
E/tsu Musa,912101
E/tsu Usnen,912101
E/tsu-Abenchi,912101
E/tsu-Kenchi,912101
E/tsuratemukun,912101
E/tswajiyatsu,912101
E/tswanku,912101
E/tswashko,912101
E/tswatako,912101
E/tswato,912101
E/tswato Area,912101
E/tswatswana,912101
E/tswaya - Shaba,912101
E/twia,912101
E/ubandawaki,912101
E/ubandone,912101
E/usmantsozhi,912101
E/wacai Tswa,912101
E/wacai-Iswa Ii,912101
E/wachin-Tafa,912101
E/wacin Lapa,912101
E/wambai,912101
E/wazhiri,912101
E/ya Ekumisu,912101
E/yekoko,912101
E/yekunisu,912101
E/yikunu,912101
E/yisanaku,912101
Eadan Gayon,800101
Eba,264103
Eba,912105
Ebagi,905101
Ebakpoti,270101
Ebeje,272101
Ebeje,260105
Ebelegbene,562101
Ebendebiri,561101
Ebenitutu,264103
Eberi,512102
Ebete,972108
Ebikeme-Gbene,561102
Ebikiri,562101
Ebimikpo,260105
Ebinpejo,121101
Ebiti,112104
Ebo,904105
Ebogogo,264103
Ebon-Okolo,503102
Ebubu,501101
Ebuguma,503102
Ebute Agbejoye,106101
Ebute Asagun,106101
Ebute Imosan,106101
Ebute Kosu,106101
Eccgi,912105
Echegu Nkaleke,480105
Echi Aba,480104
Echitcham,503102
Echjara-Unuhu,480103
Edda Abarigwe,480105
Ede,270101
Edebarikiri,562101
Edegi Ekpasananke,243105
Edegu,264103
Edeha,260105
Edeje,972108
Edem Inyang,520108
Edemosi,234101
Ede-Pie,569101
Edidi,251105
Edina,121101
Edjophe,330103
Edomia,480108
Edotsu,912105
Edozhigi,243105
Edufu Akparata,480104
Eduwini,561102
Eegelem,512101
Efan,263103
Efebiri,510102
Eferewari,503101
Effurun,330102
Efiwo,270101
Efu Alkeli Musa,912101
Efu Laruta,912101
Efu Mdatureki,912101
Efu Tsu Nitsa,912101
Efu Tsu-Dazen,912101
Efugbo,480105
Efunefune,480106
Ega-Kua,912105
Egalor,501101
Egamini,511102
Egan,102101
Egangi,913104
Egb Nagya,912105
Egba,972108
Egba,120101
Egbaghe,330101
Egbalekan,200109
Egbati Mayaki,912105
Egbati Tswaki,912105
Egbebiri,569101
Egbeche,270101
Egbeda,200109
Egbeda,511102
Egbeda Egga,261103
Egbedekiri,562101
Egbedsyere-,261103
Egbega-Oviri,330101
Egbeke,512101
Egbeleku,330101
Egbelu,511102
Egbelu,512102
Egbepulougbene,561101
Egbeshi,912101
Egbilaba,562101
Egboama,510102
Egbolom,510102
Egbom,510102
Egbomu,503102
Egbormu,503102
Egborode,330101
Egbu,512101
Ege,264103
Egede,263106
Egekiri,562101
Egeleama,562103
Egeletia,562101
Egeregere,562101
Egereogo,562101
Egiegi,330103
Egin Camp,361103
Egini,330103
Eguagu-Agbaja,480103
Egudi,272101
Egunjobi Camp,361103
Egunughan,510102
Egure Jomo,350104
Egwede,503102
Egwema,562101
Egwema Pogu,562101
Egwi,512101
Egwuagu,480105
Egwuagu Ndegu,480105
Egwudilegu,480108
Egwudulegu,480101
Egwuma,972108
Ehin Osa,106101
Ehio,511102
Ehioprada,511102
Ehuejim,431116
Ejama,501101
Ejegbo,270101
Ejemogha,330101
Ejigbo,232116
Ejigbo-Orangun,234101
Ejinya-Abakpa,270101
Ejinya-Efoje,270101
Eka,822103
Ekaeru-Inyimagu,480103
Ekan I,361103
Ekara,501101
Eke,480102
Eke,263103
Eke Na Ene,401101
Ekebe,480102
Ekebeligwe,480108
Ekede,503102
Ekejube,480102
Ekeki,569101
Ekemakiri,562101
Eke-Mode Camp,361103
Ekerekana,500103
Ekeremor,561102
Ekesan,211108
Ekesin Funfun,250101
Ekesitoko,562101
Ekete,330103
Eketube,480107
Ekinrin Adde,261103
Ekki,905102
Ekoko,330101
Ekorota,330103
Ekpan,330102
Ekpegi,260105
Ekpeikiri,562102
Ekperiware,561101
Ekpetiama,569101
Ekpurka,260105
Eku,263103
Eku Daudu,263103
Eku Oba,263103
Ekuche,511101
Ekugi,912105
Ekun Camp,370101
Ekunchara,511102
Ekundayo,112104
Ekunuga,510102
Ekusodu Area,912101
Ekwa,913104
Ekwo,972108
Eldewo,750101
Eldewo,750103
Elebele,562103
Eleeku,250101
Eleju Idofin,370101
Eleke,211108
Elekohia,500101
Elele,512101
Elele,511101
Elele Alimni,511102
Elem Ama,504102
Elemebiri,561101
Elemuama,562102
Elepetu,121101
Elere,200129
Elerinle,211108
Elewi,211108
Elewuro,371104
Eleyele,200129
Eleyin,251105
Elgitekin,562101
Elika-Ohuzeyin,264103
Ellah,243105
Elo,972108
Elok,510102
Elsarin Daji,912101
Eluenigbene,562101
Emadadja,330103
Emadike,562103
Emadogue,330101
Emago,562103
Emago,510102
Emakalakala,562103
Emanyi,270101
Emayin,263103
Emblama,569101
Emedo,270101
Emegai,562103
Emeh,510102
Emeh,502102
Emekesue,510102
Emekutu,270101
Emelego,510102
Emene,263101
Emere,270101
Emesu,510102
Emi Cimbo,912105
Emi Dado,912105
Emi Daniya,912105
Emi Kakemi,912105
Emi Kosu,912105
Emi Kugi,912105
Emi Kuta-Kin,912101
Emi Shaba,912105
Emi Sode Gabi,912105
Emi Tacigi,912105
Emi Tsoda,912105
Emi Tswaci,912105
Emi Tswanko,912105
Emi Woronangi,912105
Emigi,243105
Emiguye,912105
Emilaghan,510102
Emina Pry School,106101
Emirikpoko,510102
Emi-Shiru,922107
Emitsu,912105
Emiwoarongi,912105
Emiworo,922107
Emohua,511102
Emon-Ema Emabu,510102
Emu,501102
Emure,121101
Emure Ekiti,361104
Enagi,922107
Enale,270101
Endo,961102
Endo,962102
Enegalogo,562101
Enekpoli,270101
Enerhen,330102
Engeni,510102
Engla,972108
Eni,263103
Enigbo,464101
Eni-Odan,263103
Enjima,972108
Enogaje,972108
Enugba,972108
Enuito,106101
Enwu Agba,480102
Enwuagba,480107
Enwumini,480102
Enyiagba,480102
Enyibichiri,480108
Enyibuchiri,480107
Enyibuchiri,480102
Enyikabu,260105
Enyumuana,562102
Epe,106101
Epebu,562103
Ephuenyia,480105
Epie,569101
Eporo Ekiti,361104
Epoto,112104
Ereji,120101
Ereku,121101
Ereku,511102
Erepoto,106101
Erese,106101
Ereshe,106101
Ereweibio,562101
Ereyi,260105
Erhieuiohor,330103
Erigo,120101
Erin Igbo,121101
Erina,922107
Erinle,250101
Erinle,121101
Erinlu,120101
Erin-Osun,250101
Erinwusi,200129
Eriyo Ga,121101
Erueke,480105
Esa Iken,530103
Esala,510102
Ese Camp,361103
Eshikabu,260105
Eshikaku,260105
Esidia-Ogbema,510102
Esin Ufot,520108
Esso Area,912101
Esuk Itu,520108
Esungi,243105
Esuru,120101
Etabolagone,562101
Ete,480101
Ete,480102
Ete,260105
Etegbin,102102
Etegbin,102101
Etene,862104
Eteo,501101
Eti Oyo,370101
Etieme,562102
Etiti,441113
Etku,923104
Eturekpe,272101
Etuta,264103
Evwriyan,330101
Ewa Oluwa,121101
Ewa Solaja,121101
Ewama,562103
Ewediri,562101
Eweisuo,562101
Eweje,110109
Ewoama,562101
Ewoi,562103
Ewokiri,562101
Ewokiri,562102
Ewo-Zhi,912105
Ewu Ajeinfunja,121101
Ewu Ena,121101
Ewu Ode,121101
Ewu Ogun,121101
Ewu Oloja,121101
Ewu Olopo,121101
Eya,970101
Eyaa,501101
